Movie,Review,Sentiment
2012,"I have to say this movie is very tense. The disasters in it make you think, will the world really end this way? It's one of those films where it gets your mind thinking about the world around us and how natural disasters can and will happen.

The reason I give 2012 a 9 is it is a film where it makes you think, it makes you think about being prepared for disasters great or small, basically it's a movie about reality but its fiction. Don't get me wrong it was a great movie, a real edge of your seat type of deal. For one the natural disasters in the film can happen anytime, for example, the yellow stone caldera is a real super volcano that scientists and geologist have been studying. They do say it will erupt again in the future, but they don't know when? as for the earthquakes those are real, the shifting of continents? I guess a major event like that can happen? It did millions of years ago.

I for one liked the action in it, I also liked the fact that there was humor in it to break the ice of all the seriousness and drama. All the cast does a wonderful job, Danny Glover was excellent playing the President of the United States. John Cusack was good, but I feel they should have put a more action packed actor in it as the dad who saves his family, Cusack does not have action in him, but then again like I said he did a good job in the movie.

My favorite character was the crazy guy that was obsessed with the Yellow stone caldera, he made me laugh so much. But then again he was completely crazy and lost his life because of it. I feel like Gordon played by Tom McCarthy should have had a better ending to his life, like to save someone. The movie also makes me think about this, in times of disaster and dire need, how will we act towards other human beings? If we were on three boats, trying to survive, would we open the gates and let others in? Or leave them? Makes you think about your compassion and humanity.

2012 is a thinking movie, it will not only make you jump out of your seat but it will get your mind moving about things. Makes you want to get emergency prepared as well. I give 2012 a 9.",positive
2012,"I am surprised that at this moment, this film only got a 5.6 rating. I was going to rate it 8, but now I am rating it a 9.

I loved it its intense special effects, and its intense sound effects. After all, that is what big disaster movies are all about.

The storyline may not be very strong, but it is supposed to entertain us. And I was truly entertained for over two hours. This is a movie well done. There was a few dull moments, but overall, it is big.

I watched it on DVD, I should have watched it in a big theater with a big screen. The special effects were purely amazing! One problem with this movie is its lack of Chinese people. After all, the ships were supposed to be built in China. There was no Chinese leaders or many Chinese people shown in the movie.",positive
2012,"2012 is definitely one of the biggest blockbusters of all time. No movie has ever taken the ""Apocalypse theme"" to the heights that 2012 did. Directed by Ronald Emmerich, the talented director behind The Day After Tomorrow and 10000 BC, this movie pushes the limits of modern CGI effects and action scenes. The pacing of the movie is great and never leaves the viewer with a moment of boredom. Along with the great action scenes, the movie also makes a great message of worldwide unity between peoples rather than money and politics. 2012 is no doubt Ronald Emmerich's biggest movie.

Byron Shelley Injeeli",positive
2012,"This movie is hilariously stupid! It's laugh out loud so over the top with its disasters happening and so quickly too and it takes way too long to get its message across. The only stars who hold the movie are John Cusack, Woodly Harrelson and Chiwetel Ejiofor. Thandie Newton tries her best with the female lead but isn't up to much. Oliver Platt boy do I want to punch him in his great big teeth or wish it was written in the script for one of the characters to do so. I know it's his character Carl that grates but do you not want to hit him in the whole movie with the heartlessness and just overall cruelty??

Awful movie - don't bother wasting your time. Gets me down totally. No happiness to it really",positive
2012,"It's always amusing to read and/or hear people going on about the realness (or better lack of it) of event movies like this. Something along the lines like: That (stunt) couldn't really happen in real life! Really? Is that all you got about this movie? It's not real? Isn't a movie ""not"" real by definition?

Writer/director Roland Emmerich sacrifices dialogue and depends on an almost comical story line to wow viewers with mega destruction. Sure the CGI, sound and special effects will sell a lot of popcorn and soft drinks. Even word of mouth will put people in theater seats. Just leave any semblance of real intelligence at the box office, lean back and hold on...and let your eyes feast on the powerful scenes of devastation.

A geologist(Chiwetel Ejiofor)has the facts and figures that prove validity in the ancient Mayan belief that the wold will come to an end in 2012. He at first will have trouble convincing the President's(Danny Glover)people of the pending doom; but a novelist(John Cusack), who just so happens to have written a book about the lost Atlantis, is an easier believer...and the story line has him and his family out driving and flying the massive earthquakes and tsunamis. And somehow cell phones periodically still work. The finale is actually clever; and as the story eases into salvation, heroic feats of bravery run from sappy to bittersweet. You do end up thinking you got multiple big bangs for your buck. As for entertainment, I really enjoyed it.",positive
2012,"If I were to rate this movie strictly on science or believability it would be a 2, but ultimately I found 2012 to be rather entertaining. The CGI was superb throughout, and surprisingly the acting was OK, but the story itself was not so hot and very overdone. If you want scenes of total devastation and cataclysm this outing will thrill you, for the CGI is superb and almost terrifyingly realistic.

While the story itself is lacking, you can at least relate it to the headlines in the news sometimes. It is the ultimate disaster movie no doubt, and if you leave your cape of reality at home you can enjoy it thoroughly...",positive
2012,"This is certainly in my top 10 films I have watched. I really like these types of films and this one had it all for me. There is a lot of twists and turns as well as a lot of action.

The plot is based around a family where the parents have separated and the mum has a new partner. There is a large earth quake where they live as well as other major disasters worldwide, they all have to try and survive, which takes them on an epic journey.

The plot is well planned and has a lot of variety which gives you the sense of a worldwide disaster, which is always good for this type of film. The graphics are good and there is a lot of action as well as on the edge of your seat moments.

I would 100% recommend.",positive
2012,"I really have to laugh when I read the negative reviews of this movie as if the writers were asked to give a critical review of a true piece of art. Let's face it: art films don't make money because they're not that entertaining films, and entertaining films generally are not artful. So what? I've watched 2012 several times on DVD and I am always entertained. I don't need to sit and analyze the science or even the dialogue. Yes, I like special effects but I also like survival movies. Sure, the protagonists seem to escape every possible death trap, but what would be the point of killing off these folks along the way. Then you really would have no story. I think that those who fault the movie, especially the plot, have not actually watched it beginning to end. I don't judge it in anyway other than what it sets out to do--entertain--and that it did for me. I am sure that all these negative critics, if asked how they would improve it, would come up with a number of changes that overall would not produce a vastly better movie.",positive
2012,"The only thing that let's this film down is the science. Ignore that and it's a very enjoyable film. I saw this not long after it's release but enjoyed it more the second time around when i wasn't expecting much from the experience but was pleasantly surprised.

Just accept the earth has a very big problem, sit back and enjoy the show!

Top notch action sequences and effects are worth the 8 out of 10 I've chosen to give this film. I was quite surprised to find myself on the edge of my seat a few times and engaged to the end.

I put this film on to be entertained and entertained i was!",positive
2012,"If you liked ""Independence Day"" and disaster movies, you will love this movie. This had me sitting on the edge of my seat for half of the movie, and I think I found my 82 year old mother huddling under the chair. It's full of action, disasters, and I don't think appropriate for young audiences, because a lot would have to be explained to them. But if this is what the earth will become when the end of the world comes, I don't want to be here. Watch it, it's a good movie!! One of the best disaster movies I've seen in a long time. Maybe the Aztec's had something to their dates when they said 12/21/12...wow, does that mean we don't have to prepare for Christmas next year?!?! LOL",positive
